#,Listing ID,Listing Class,Street Number,Street Name,Municipality,Community,List Price,Sold Price,Type,Style,Bed Room,Extra Space,Wash Room,Family Room,Kitchen,Garage Type,A/C,Heat Type,Contract Date,Sold Date,List Brokerage
348,W5717283,Sld,46,Peggy,Brampton,Heart Lake,999000,934000,Detached,2-Storey,3,1,3,Y,1,Double Car,Cen,Gas,2022-08-02,2022-09-02,HOMELIFE SI
349,W5724602,Sld,48,Wheatberry,Brampton,Sandringham,999000,1400000,Detached,2-Storey,4,0,4,Y,1,Double Car,Cen,Gas,2022-08-08,2022-08-09,RE/MAX REAL
350,W5731279,Sld,29,Mikado,Brampton,Central Park,999700,962000,Detached,Bungalow,3,1,3,Y,1,Double Car,Cen,Gas,2022-08-13,2022-09-02,CENTURY 21
351,W5713203,Sld,34,Sandyside,Brampton,Fletcher's Creek,999888,1180000,Detached,2-Storey,4,1,4,Y,1,Double Car,Cen,Gas,2022-07-28,2022-08-03,RE/MAX REAL
352,W5726967,Sld,22,Furrows,Brampton,Heart Lake,999900,1050000,Detached,2-Storey,4,0,3,Y,1,Double Car,Cen,Gas,2022-08-10,2022-08-12,RE/MAX REAL
353,W5738975,Sld,31,Grasshoppe,Brampton,Sandringham,999900,1170000,Detached,2-Storey,0,1,4,N,1,Double Car,Cen,Gas,2022-08-20,2022-08-29,RE/MAX REAL
354,W5744657,Sld,65,Buick,Brampton,Fletcher's Creek,999900,1280000,Detached,2-Storey,4,1,4,Y,1,Double Car,Cen,Gas,2022-08-26,2022-08-30,HOMELIFE SU
355,W5765528,Sld,32,Furrows,Brampton,Heart Lake,999900,995000,Detached,2-Storey,3,1,3,Y,1,Double Car,Cen,Gas,2022-09-16,2022-09-19,RE/MAX REAL
356,W5718978,Sld,103,Trailside,Brampton,Bramalea N,999941,970000,Detached,Bungalow,2,1,3,Y,1,Double Car,Cen,Gas,2022-08-03,2022-08-15,EXP REALTY.
357,W5711200,Sld,28,Hybrid,Brampton,Northwest,999999,1070000,Detached,2-Storey,3,0,3,Y,1,Double Car,Cen,Gas,2022-07-26,2022-08-17,HOMELIFE/MI
358,W5729660,Sld,6,Lever,Brampton,Fletcher's Creek,1015000,1035000,Detached,2-Storey,3,0,4,Y,1,Double Car,Cen,Gas,2022-08-12,2022-08-23,KELLER WILL
